Freq.	V(n001)
1.25179645865404e+00	1.00000000000000e+00,0.00000000000000e+00
1.25266443862417e+00	1.00000000000000e+00,0.00000000000000e+00
1.25353302044074e+00	1.00000000000000e+00,0.00000000000000e+00
1.25440220452104e+00	1.00000000000000e+00,0.00000000000000e+00
1.25527199128269e+00	1.00000000000000e+00,-6.93889390390723e-18
1.25614238114357e+00	1.00000000000000e+00,0.00000000000000e+00
1.25701337452187e+00	1.00000000000000e+00,0.00000000000000e+00
1.25788497183606e+00	1.00000000000000e+00,0.00000000000000e+00
1.25875717350490e+00	1.00000000000000e+00,-6.93889390390723e-18
1.25962997994745e+00	1.00000000000000e+00,0.00000000000000e+00
1.26050339158303e+00	1.00000000000000e+00,0.00000000000000e+00
1.26137740883130e+00	1.00000000000000e+00,0.00000000000000e+00
1.26225203211216e+00	1.00000000000000e+00,0.00000000000000e+00
1.26312726184585e+00	1.00000000000000e+00,0.00000000000000e+00
1.26400309845285e+00	1.00000000000000e+00,6.93889390390723e-18
1.26487954235398e+00	1.00000000000000e+00,0.00000000000000e+00
1.26575659397033e+00	1.00000000000000e+00,0.00000000000000e+00
1.26663425372327e+00	1.00000000000000e+00,-6.93889390390723e-18
1.26751252203447e+00	1.00000000000000e+00,0.00000000000000e+00
1.26839139932591e+00	1.00000000000000e+00,0.00000000000000e+00
1.26927088601985e+00	1.00000000000000e+00,-6.93889390390723e-18
1.27015098253884e+00	1.00000000000000e+00,0.00000000000000e+00
1.27103168930571e+00	1.00000000000000e+00,0.00000000000000e+00
1.27191300674362e+00	1.00000000000000e+00,0.00000000000000e+00
1.27279493527599e+00	1.00000000000000e+00,0.00000000000000e+00
1.27367747532655e+00	1.00000000000000e+00,0.00000000000000e+00
1.27456062731931e+00	1.00000000000000e+00,0.00000000000000e+00
1.27544439167859e+00	1.00000000000000e+00,0.00000000000000e+00
1.27632876882900e+00	1.00000000000000e+00,6.93889390390723e-18
1.27721375919544e+00	1.00000000000000e+00,-6.93889390390723e-18
1.27809936320310e+00	1.00000000000000e+00,0.00000000000000e+00
1.27898558127748e+00	1.00000000000000e+00,0.00000000000000e+00
1.27987241384436e+00	1.00000000000000e+00,6.93889390390723e-18
1.28075986132982e+00	1.00000000000000e+00,0.00000000000000e+00
1.28164792416024e+00	1.00000000000000e+00,-6.93889390390723e-18
1.28253660276230e+00	1.00000000000000e+00,6.93889390390723e-18
1.28342589756295e+00	1.00000000000000e+00,0.00000000000000e+00
1.28431580898948e+00	1.00000000000000e+00,0.00000000000000e+00
1.28520633746942e+00	1.00000000000000e+00,-6.93889390390723e-18
1.28609748343065e+00	1.00000000000000e+00,6.93889390390723e-18
1.28698924730132e+00	1.00000000000000e+00,0.00000000000000e+00
1.28788162950988e+00	1.00000000000000e+00,0.00000000000000e+00
1.28877463048507e+00	1.00000000000000e+00,-6.93889390390723e-18
1.28966825065594e+00	1.00000000000000e+00,0.00000000000000e+00
1.29056249045183e+00	1.00000000000000e+00,0.00000000000000e+00
1.29145735030239e+00	1.00000000000000e+00,6.93889390390723e-18
1.29235283063754e+00	1.00000000000000e+00,0.00000000000000e+00
1.29324893188754e+00	1.00000000000000e+00,0.00000000000000e+00
1.29414565448291e+00	1.00000000000000e+00,-6.93889390390723e-18
1.29504299885448e+00	1.00000000000000e+00,0.00000000000000e+00
1.29594096543339e+00	1.00000000000000e+00,0.00000000000000e+00
1.29683955465106e+00	1.00000000000000e+00,0.00000000000000e+00
1.29773876693924e+00	1.00000000000000e+00,0.00000000000000e+00
1.29863860272994e+00	1.00000000000000e+00,6.93889390390723e-18
1.29953906245549e+00	1.00000000000000e+00,0.00000000000000e+00
1.30044014654853e+00	1.00000000000000e+00,6.93889390390723e-18
1.30134185544199e+00	1.00000000000000e+00,0.00000000000000e+00
1.30224418956908e+00	1.00000000000000e+00,0.00000000000000e+00
1.30314714936335e+00	1.00000000000000e+00,0.00000000000000e+00
1.30405073525861e+00	1.00000000000000e+00,-6.93889390390723e-18
1.30495494768901e+00	1.00000000000000e+00,0.00000000000000e+00
1.30585978708897e+00	1.00000000000000e+00,0.00000000000000e+00
1.30676525389323e+00	1.00000000000000e+00,0.00000000000000e+00
1.30767134853681e+00	1.00000000000000e+00,0.00000000000000e+00
1.30857807145507e+00	1.00000000000000e+00,6.93889390390723e-18
1.30948542308362e+00	1.00000000000000e+00,-6.93889390390723e-18
1.31039340385842e+00	1.00000000000000e+00,0.00000000000000e+00
1.31130201421570e+00	1.00000000000000e+00,0.00000000000000e+00
1.31221125459202e+00	1.00000000000000e+00,6.93889390390723e-18
1.31312112542421e+00	1.00000000000000e+00,6.93889390390723e-18
1.31403162714943e+00	1.00000000000000e+00,0.00000000000000e+00
1.31494276020513e+00	1.00000000000000e+00,6.93889390390723e-18
1.31585452502907e+00	1.00000000000000e+00,0.00000000000000e+00
1.31676692205930e+00	1.00000000000000e+00,0.00000000000000e+00
1.31767995173420e+00	1.00000000000000e+00,0.00000000000000e+00
1.31859361449242e+00	1.00000000000000e+00,-6.93889390390723e-18
1.31950791077295e+00	1.00000000000000e+00,-6.93889390390723e-18
1.32042284101506e+00	1.00000000000000e+00,0.00000000000000e+00
1.32133840565832e+00	1.00000000000000e+00,0.00000000000000e+00
1.32225460514263e+00	1.00000000000000e+00,-6.93889390390723e-18
1.32317143990818e+00	1.00000000000000e+00,0.00000000000000e+00
1.32408891039546e+00	1.00000000000000e+00,-6.93889390390723e-18
1.32500701704527e+00	1.00000000000000e+00,0.00000000000000e+00
1.32592576029872e+00	1.00000000000000e+00,0.00000000000000e+00
1.32684514059722e+00	1.00000000000000e+00,-6.93889390390723e-18
1.32776515838250e+00	1.00000000000000e+00,0.00000000000000e+00
1.32868581409657e+00	1.00000000000000e+00,6.93889390390723e-18
1.32960710818177e+00	1.00000000000000e+00,0.00000000000000e+00
1.33052904108075e+00	1.00000000000000e+00,0.00000000000000e+00
1.33145161323643e+00	1.00000000000000e+00,6.93889390390723e-18
1.33237482509208e+00	1.00000000000000e+00,0.00000000000000e+00
1.33329867709126e+00	1.00000000000000e+00,0.00000000000000e+00
1.33422316967783e+00	1.00000000000000e+00,-6.93889390390723e-18
1.33514830329597e+00	1.00000000000000e+00,0.00000000000000e+00
1.33607407839016e+00	1.00000000000000e+00,-6.93889390390723e-18
1.33700049540520e+00	1.00000000000000e+00,0.00000000000000e+00
